Identifer,Title,Contributor,creator,creator,date,description,format,Language,publisher,relation,rights,subject,subject,subject,Coverage,type,Source,File Name
mcj-dp018-19390117-smith-christine-001,"Letter from Pauline Smith to Christine Smith; January 17, 1939",,"Smith, Edith Pauline, 1894-1977",,1/17/1939,"Pauline writes to Christine about local elections, asks about night school, and dating. She also discusses other social and family matters. ",5 pgs.,eng,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Social life and customs--20th century,Local elections,Dating,Shelby County (Tenn.),Text,Ellard-Murphree-Pilgreen-Smith Family Papers Collection,mcj-dp018-19390117-smith-christine-001.pdf
fgcu_bc_0054,Letter from Nelson Burroughs to Wife and Family,,"Burroughs, Nelson T.",,1/7/1902,"Typewritten letter from Nelson T. Burroughs to wife and family discussing business trip to New York and New Jersey and change of travel plans. Written from Marquette Building in Chicago on January 7, 1902",1 typewritten page,eng,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",New Jersey,interstate land sales,records and correspondence,Chicago (Ill).,Text,Burroughs Family Collection,fgcu_bc_0054.pdf
cchs_hd_0001,Article about Hurricane Donna,,,,1960-09-10,"Article detailing the events of Hurrican Donna and the impacts it had on Collier County and surrounding areas in Southwest Florida titled ""Donna was the worst storm we ever had.""",3 pgs.,eng,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Natural Disasters,Collier County (Fla.),Text,,cchs_hd_0001.pdf
cchs_hd_0002,News Report on Hurricane Donna,,Naples Daily News,,1960-09-10,Report recounting the weather forecasting in the Collier County and Naples area leading up to Hurricane Donna making landfall and a statement from the Naples sherrif.,1 pg.,eng,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Weather forecasting,Collier County (Fla.),Text,,cchs_hd_0002.pdf
cchs_hd_0003,List of SWFL Hurricanes and Photography Exhibits ,National Weather Service in Miami,,,,List of hurricanes that affected the Collier County area compiled by the the National Weather Service in Miami. Desciptions of and list of photographs from the 1926 and 1960 hurricanes. ,2 pgs.,eng,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Natural Disasters,Collier County (Fla.),Text,,cchs_hd_0003.pdf
cchs_hd_0004,Newspaper Article on Hurricane Donna,,News-Press,,1960-09-09,"Newspaper article regarding Hurricane Donna before it made landfall in Florida. Briefly details the storms affect on Cuba, and a small blurb about the 1947 hurricane. ",1 pg.,eng,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Newspapers,Fort Myers (Fla.),Text,,cchs_hd_0004.pdf
cchs_hd_0005,Newspaper Article on Hurricane Donna,,News-Press,,1960-09-13,Newspaper article regarding Hurricane Donna after it made landfall in and passed over Florida. Details the federal assitance and and insurance happenings in order to aid the recovery of the Southwestern Florida area.,1 pg.,eng,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Newspapers,Fort Myers (Fla.),Text,,cchs_hd_0005.pdf
cchs_hd_0006,Florida Health Notes Publication ,,The Florida Department of Health,,1961-04,"The Florida Department of Health publication ""Florida Health Note"" regarding Hurricane Donna. Details aspects of the hurricane from the pre-storm preparations taken to the post-hurriance long-term affects.",6 pgs.,eng,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Public health administrations,Florida,Text,,cchs_hd_0006.pdf
cchs_hd_0007,Photo of Sign at Fishing Camp,,,,unknown,Black and white photograph of a sign in the Gordan Pass Fish Camp in Naples that was shutdown by Hurricane Donna.,4x4 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Photographs,Naples (Fla.),Image,,cchs_hd_0007.jpg
cchs_hd_0008,Photo of Hurricane Donna Flooding,,,,1960,Black and white photograph of two people on a row boat in front of a house on a flooded street.,4x6 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Photographs,Collier County (Fla.),Image,,cchs_hd_0008.jpg
cchs_hd_0009,Photo of Hurricane Donna Flooding,,,,1960,"Black and white photograph of a flooded neighborhood street, a man standing in the storm surge in front of one of the houses.",4x6 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Photographs,Collier County (Fla.),Image,,cchs_hd_0009.jpg
cchs_hd_0010,Photo of Hurricane Donna Flooding,,,,1960,Black and white photograph of a flooded neighborhood.,4x6 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricanes,Photographs,Collier County (Fla.),Image,,cchs_hd_0010.jpg
cchs_hd_0011,Photo of Crowd Outside the Everglades Inn,,,,unknown,Black and white photograph of a large crowd outside on the front lawn of the Everglades Inn. The year 1923 is engraved on a plaque at the top of the building.,4x6 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Photographs,Florida--Everglades,,Everglades (Fla.),Image,,cchs_hd_0011.jpg
cchs_hd_0012,Photo of Three Men by the Waterside,,,,unknown,Black and white photograph of three men standing by the side of a body of water.,4x6 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Photographs,,,Collier County (Fla.),Image,,cchs_hd_0012.jpg
cchs_hd_0013,Photo of Crowd in a Field ,,Tom Morgan,,1960,"Black and white photograph of a faraway shot of a field with a crowd of people, some wearing military uniforms, assumedly a National Guard troop.",4x6 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Photographs,Florida--Everglades,,Collier County (Fla.),Image,,cchs_hd_0013.jpg
cchs_hd_0014,Photo of Two Men Standing by a Wood Box,,,,unknown,"Black and white photograph of two men standing around a large wooden box, one of the men holding a large glass jar of dark liquid.",4x6 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Photographs,,,Collier County (Fla.),Image,,cchs_hd_0014.jpg
cchs_hd_0015,Photo of a Large House,,,,unknown,Black and white photograph of a large house with yard of palm trees and sand.,4x6 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Photographs,,,Collier County (Fla.),Images,,cchs_hd_0015.jpg
cchs_hd_0016,Photo of a Man,,,,unknown,"Black and white photograph of a man, closeup to his face.",4x6 photo,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Photographs,,,Collier County (Fla.),Images,,cchs_hd_0016.jpg
